time,voltage_ch1,voltage_ch2,voltage_ch3,voltage_ch4
0.000148736,2.0,1.2,0.0,0.0
0.000148768,2.2,1.0,-0.2,0.0
0.0001488,2.0,1.2,0.0,0.0
0.000148832,2.0,1.2,0.0,0.0
0.000148864,2.0,1.0,0.0,0.0
0.000148896,2.2,1.0,0.0,0.0
0.000148928,2.2,1.0,0.0,0.0
0.00014896,2.2,1.0,0.0,0.0
0.000148992,2.2,1.0,0.0,0.0
0.000149024,2.2,1.0,0.0,0.0
0.000149056,2.0,1.0,0.0,0.0
0.000149088,2.2,1.2,0.0,0.0
0.00014912,2.0,1.2,0.0,0.0
0.000149152,2.0,1.0,0.0,0.0
0.000149184,2.0,1.2,-0.2,0.0
0.000149216,2.0,1.2,0.0,0.0
0.000149248,2.2,1.2,-0.2,0.0
0.00014928,2.2,1.2,0.0,0.0
0.000149312,2.2,1.0,0.0,0.0
0.000149344,2.0,1.2,0.0,0.0
0.000149376,2.0,1.0,0.0,0.0
0.000149408,2.0,1.0,0.0,0.0
0.00014944,2.0,1.0,0.0,0.0
0.000149472,2.0,1.2,0.0,0.0
0.000149504,2.0,1.0,0.0,0.0
0.000149536,2.2,1.2,0.0,0.0
0.000149568,2.2,1.2,0.0,0.0
0.0001496,2.2,1.0,0.0,0.2
0.000149632,2.0,1.0,0.0,0.0
0.000149664,2.0,1.0,0.0,0.0
0.000149696,2.2,1.2,0.0,0.0
0.000149728,2.2,1.2,0.0,0.0
0.00014976,2.2,1.0,0.0,0.0
0.000149792,2.0,1.0,0.0,0.0
0.000149824,2.0,1.2,0.0,0.2
0.000149856,2.2,1.0,0.0,0.2
0.000149888,2.0,1.0,0.0,0.0
0.00014992,2.2,1.0,0.0,0.2
0.000149952,2.0,1.0,0.0,0.0
0.000149984,2.0,1.0,-0.2,0.0
0.000150016,2.2,1.0,0.0,0.0
0.000150048,2.0,1.2,0.0,0.0
0.00015008,2.0,1.0,-0.2,0.0
0.000150112,2.0,1.2,0.0,0.2
0.000150144,2.2,1.0,0.0,0.2
0.000150176,2.0,1.2,0.0,0.0
0.000150208,2.0,1.2,0.0,0.0
0.00015024,2.2,1.2,0.0,0.0
0.000150272,2.0,1.0,0.0,0.0
0.000150304,2.0,1.0,0.0,0.0
0.000150336,2.0,1.0,0.0,0.0
0.000150368,2.0,1.0,0.0,0.0
0.0001504,2.2,1.0,0.0,0.0
0.000150432,2.2,1.0,0.0,0.0
0.000150464,2.2,1.0,0.0,0.0
0.000150496,2.0,1.2,0.0,0.0
0.000150528,2.0,1.0,0.2,0.0
0.00015056,2.0,1.0,0.0,0.0
0.000150592,2.2,1.0,0.0,0.0
0.000150624,2.2,1.0,0.0,0.0
0.000150656,2.2,1.0,0.0,0.0
0.000150688,2.0,1.0,0.0,0.2
0.00015072,2.2,1.2,0.0,0.0
0.000150752,2.0,1.0,0.0,0.0
0.000150784,2.0,1.0,0.0,0.0
0.000150816,2.2,1.2,0.0,0.0
0.000150848,2.0,1.2,-0.2,0.0
0.00015088,2.0,1.0,0.0,0.0
0.000150912,2.2,1.0,0.0,0.2
0.000150944,2.2,1.0,0.0,0.0
0.000150976,2.2,1.0,-0.2,0.0
0.000151008,2.2,1.0,0.0,0.0
0.00015104,2.0,1.2,0.0,0.0
0.000151072,2.0,1.2,0.0,0.2
0.000151104,2.0,1.0,-0.2,0.0
0.000151136,2.2,1.0,0.0,0.0
0.000151168,2.0,1.0,0.0,0.0
0.0001512,2.2,1.2,0.0,0.0
0.000151232,2.0,1.2,-0.2,0.0
0.000151264,2.0,1.0,0.0,0.0
0.000151296,2.0,1.0,0.0,0.0
0.000151328,2.2,1.0,0.0,0.0
0.00015136,2.2,1.0,0.0,0.0
0.000151392,2.0,1.2,0.0,0.0
0.000151424,2.0,1.0,0.0,0.0
0.000151456,2.0,1.0,0.0,0.0
0.000151488,2.2,1.2,0.0,0.0
0.00015152,2.2,1.2,0.0,0.0
0.000151552,2.2,1.2,0.0,0.0
0.000151584,2.2,1.0,0.0,0.0
0.000151616,2.0,1.2,0.0,0.0
0.000151648,2.0,1.2,0.0,0.0
0.00015168,2.2,1.0,0.0,0.0
0.000151712,2.0,1.0,0.0,0.0
0.000151744,2.0,1.0,0.0,0.0
0.000151776,2.0,1.0,0.0,0.2
0.000151808,2.0,1.0,0.0,0.0
0.00015184,2.0,1.0,0.0,0.0
0.000151872,2.2,1.0,-0.2,0.0
0.000151904,2.2,1.2,0.0,0.0
0.000151936,2.2,1.2,0.0,0.0
0.000151968,2.0,1.0,0.0,0.0
0.000152,2.0,1.2,0.0,0.0
0.000152032,2.0,1.2,0.0,0.0
0.000152064,2.2,1.0,0.0,0.0
0.000152096,2.0,1.0,0.0,0.0
0.000152128,2.2,1.0,0.0,0.0
0.00015216,2.2,1.0,0.0,0.0
0.000152192,2.2,1.0,0.0,0.0
0.000152224,2.2,1.0,0.0,0.0
0.000152256,2.0,1.2,0.0,0.0
0.000152288,2.2,1.2,-0.2,0.0
0.00015232,2.0,1.2,0.0,0.2
0.000152352,2.2,1.0,0.0,0.0
0.000152384,2.2,1.0,0.0,0.0
0.000152416,2.2,1.0,0.0,0.0
