time,triggeredvoltage_ch1,voltage_ch2,voltage_ch3,voltage_ch4
0.00047176,-1.4,1.0,-0.04,0.0
0.00047184,-1.4,1.0,0.0,0.0
0.00047192,-1.44,1.04,0.0,0.0
0.000472,-1.4,1.0,0.0,0.0
0.00047208,-1.4,1.0,0.0,-0.04
0.00047216,-1.4,1.0,0.0,-0.04
0.00047224,-1.4,1.04,0.0,0.0
0.00047232,-1.4,1.0,0.0,0.0
0.0004724,-1.4,1.04,0.0,0.0
0.00047248,-1.44,1.0,0.0,0.0
0.00047256,-1.44,1.0,0.0,0.0
0.00047264,-1.44,1.0,0.0,0.0
0.00047272,-1.4,1.0,0.0,0.0
0.0004728,-1.44,1.0,-0.04,0.0
0.00047288,-1.4,1.0,0.0,-0.04
0.00047296,-1.4,1.0,0.0,0.0
0.00047304,-1.4,1.0,0.0,0.0
0.00047312,-1.4,1.0,0.0,0.0
0.0004732,-1.44,1.0,0.0,0.0
0.00047328,-1.4,1.0,0.0,0.0
0.00047336,-1.4,1.0,-0.04,0.0
0.00047344,-1.44,1.0,-0.04,0.0
0.00047352,-1.4,1.0,0.0,0.0
0.0004736,-1.4,1.0,0.0,0.0
0.00047368,-1.4,1.0,-0.04,0.0
0.00047376,-1.4,1.0,0.0,0.0
0.00047384,-1.44,1.0,0.0,0.0
0.00047392,-1.4,1.0,0.0,0.0
0.000474,-1.4,1.0,0.0,-0.04
0.00047408,-1.44,1.0,0.0,0.0
0.00047416,-1.4,1.0,0.0,-0.04
0.00047424,-1.4,1.0,0.0,0.0
0.00047432,-1.4,1.0,0.0,0.0
0.0004744,-1.44,1.0,0.0,0.0
0.00047448,-1.4,1.0,0.0,0.0
0.00047456,-1.4,1.0,0.0,0.0
0.00047464,-1.4,1.0,0.0,0.0
0.00047472,-1.4,1.0,0.0,0.0
0.0004748,-1.4,1.0,0.0,0.0
0.00047488,-1.44,1.0,0.0,-0.04
0.00047496,-1.4,1.0,0.0,0.0
0.00047504,-1.4,1.0,0.0,0.0
0.00047512,-1.4,1.0,0.0,0.0
0.0004752,-1.44,1.0,0.0,0.0
0.00047528,-1.44,1.0,0.0,0.0
0.00047536,-1.4,1.0,0.0,0.0
0.00047544,-1.4,1.0,0.0,-0.04
0.00047552,-1.44,1.0,0.0,0.0
0.0004756,-1.44,1.0,0.0,0.0
0.00047568,-1.4,1.0,0.0,0.0
0.00047576,-1.44,1.0,0.0,-0.04
0.00047584,-1.44,1.0,0.0,0.0
0.00047592,-1.4,1.0,0.0,0.0
0.000476,-1.44,1.0,0.0,0.0
0.00047608,-1.44,1.0,0.0,0.0
0.00047616,-1.4,1.0,0.0,0.0
0.00047624,-1.4,1.04,0.0,0.0
0.00047632,-1.4,1.0,0.0,0.0
0.0004764,-1.44,1.0,-0.04,0.0
0.00047648,-1.4,1.0,0.0,0.0
0.00047656,-1.4,1.04,0.0,0.0
0.00047664,-1.44,1.0,-0.04,0.0
0.00047672,-1.44,1.0,0.0,0.0
0.0004768,-1.44,1.0,0.0,0.0
0.00047688,-1.4,1.0,0.0,0.0
0.00047696,-1.4,1.0,0.0,0.0
0.00047704,-1.44,1.0,0.0,0.0
0.00047712,-1.44,1.0,-0.04,0.0
0.0004772,-1.44,1.0,0.0,0.0
0.00047728,-1.44,1.0,0.0,-0.04
0.00047736,-1.44,1.0,0.0,0.0
0.00047744,-1.44,1.0,-0.04,0.0
0.00047752,-1.44,1.0,0.0,0.0
0.0004776,-1.4,1.0,0.0,0.0
0.00047768,-1.4,1.0,0.0,0.0
0.00047776,-1.44,1.0,0.0,0.0
0.00047784,-1.4,1.0,0.0,0.0
0.00047792,-1.44,1.0,0.0,0.0
0.000478,-1.4,1.0,0.0,0.0
0.00047808,-1.44,1.0,0.0,0.0
0.00047816,-1.44,1.0,0.0,0.0
0.00047824,-1.44,1.0,-0.04,0.0
0.00047832,-1.4,1.0,0.0,0.0
